Dataset	Mappers	Reducers	Execution Time
data-pr/input-large.txt	1	1	0.17684
data-pr/input-large.txt	1	2	0.17768
data-pr/input-large.txt	1	3	0.17684
data-pr/input-large.txt	1	4	0.17642
data-pr/input-large.txt	1	5	0.17668
data-pr/input-large.txt	1	6	0.17734
data-pr/input-large.txt	1	7	0.17678
data-pr/input-large.txt	1	8	0.17716
data-pr/input-large.txt	1	9	0.1781
data-pr/input-large.txt	1	10	0.17782
data-pr/input-large.txt	2	1	0.1768
data-pr/input-large.txt	2	2	0.17772000000000002
data-pr/input-large.txt	2	3	0.17554
data-pr/input-large.txt	2	4	0.1759
data-pr/input-large.txt	2	5	0.1773
data-pr/input-large.txt	2	6	0.17709999999999998
data-pr/input-large.txt	2	7	0.17672
data-pr/input-large.txt	2	8	0.17774
data-pr/input-large.txt	2	9	0.17738
data-pr/input-large.txt	2	10	0.17742
data-pr/input-large.txt	3	1	0.17726
data-pr/input-large.txt	3	2	0.17751999999999998
data-pr/input-large.txt	3	3	0.17718
data-pr/input-large.txt	3	4	0.17746
data-pr/input-large.txt	3	5	0.1776
data-pr/input-large.txt	3	6	0.17736000000000002
data-pr/input-large.txt	3	7	0.17876
data-pr/input-large.txt	3	8	0.17918
data-pr/input-large.txt	3	9	0.17880000000000001
data-pr/input-large.txt	3	10	0.178
data-pr/input-large.txt	4	1	0.17876
data-pr/input-large.txt	4	2	0.17822
data-pr/input-large.txt	4	3	0.17892
data-pr/input-large.txt	4	4	0.17809999999999998
data-pr/input-large.txt	4	5	0.17974
data-pr/input-large.txt	4	6	0.17784
data-pr/input-large.txt	4	7	0.17828
data-pr/input-large.txt	4	8	0.17892
data-pr/input-large.txt	4	9	0.1773
data-pr/input-large.txt	4	10	0.17872000000000002
data-pr/input-large.txt	5	1	0.181
data-pr/input-large.txt	5	2	0.18022
data-pr/input-large.txt	5	3	0.17738
data-pr/input-large.txt	5	4	0.1767
data-pr/input-large.txt	5	5	0.17726
data-pr/input-large.txt	5	6	0.17676
data-pr/input-large.txt	5	7	0.17668
