Dataset	Mappers	Reducers	Execution Time
data-wc/word-count-sanity-check.txt	1	1	0.17844
data-wc/word-count-sanity-check.txt	1	2	0.17868
data-wc/word-count-sanity-check.txt	1	3	0.17842
data-wc/word-count-sanity-check.txt	1	4	0.1781
data-wc/word-count-sanity-check.txt	1	5	0.18234
data-wc/word-count-sanity-check.txt	1	6	0.17854
data-wc/word-count-sanity-check.txt	1	7	0.17896
data-wc/word-count-sanity-check.txt	1	8	0.1788
data-wc/word-count-sanity-check.txt	1	9	0.1788799999999999
data-wc/word-count-sanity-check.txt	1	10	0.18382
data-wc/word-count-sanity-check.txt	2	1	0.17698
data-wc/word-count-sanity-check.txt	2	2	0.17708
data-wc/word-count-sanity-check.txt	2	3	0.17722
data-wc/word-count-sanity-check.txt	2	4	0.17754
data-wc/word-count-sanity-check.txt	2	5	0.17708
data-wc/word-count-sanity-check.txt	2	6	0.17726
data-wc/word-count-sanity-check.txt	2	7	0.17712
data-wc/word-count-sanity-check.txt	2	8	0.17814
data-wc/word-count-sanity-check.txt	2	9	0.17702
data-wc/word-count-sanity-check.txt	2	10	0.17772
data-wc/word-count-sanity-check.txt	4	1	0.17924
data-wc/word-count-sanity-check.txt	4	2	0.17726
data-wc/word-count-sanity-check.txt	4	3	0.17694
data-wc/word-count-sanity-check.txt	4	4	0.1771599999999999
data-wc/word-count-sanity-check.txt	4	5	0.17706
data-wc/word-count-sanity-check.txt	4	6	0.17732
data-wc/word-count-sanity-check.txt	4	7	0.17716
data-wc/word-count-sanity-check.txt	4	8	0.17742
data-wc/word-count-sanity-check.txt	4	9	0.17702
data-wc/word-count-sanity-check.txt	4	10	0.17724
data-wc/word-count-sanity-check.txt	5	1	0.17904
data-wc/word-count-sanity-check.txt	5	2	0.1788
data-wc/word-count-sanity-check.txt	5	3	0.1793
data-wc/word-count-sanity-check.txt	5	4	0.1789
data-wc/word-count-sanity-check.txt	5	5	0.17858
data-wc/word-count-sanity-check.txt	5	6	0.17946
data-wc/word-count-sanity-check.txt	5	7	0.17784
data-wc/word-count-sanity-check.txt	5	8	0.17882
data-wc/word-count-sanity-check.txt	5	9	0.17908
data-wc/word-count-sanity-check.txt	5	10	0.17904
data-wc/word-count-sanity-check.txt	6	1	0.17886
data-wc/word-count-sanity-check.txt	6	2	0.1795199999999999
data-wc/word-count-sanity-check.txt	6	3	0.17838
data-wc/word-count-sanity-check.txt	6	4	0.1794
data-wc/word-count-sanity-check.txt	6	5	0.17838
data-wc/word-count-sanity-check.txt	6	6	0.17926
data-wc/word-count-sanity-check.txt	6	7	0.17862
data-wc/word-count-sanity-check.txt	6	8	0.17932
data-wc/word-count-sanity-check.txt	6	9	0.17862
data-wc/word-count-sanity-check.txt	6	10	0.17924
data-wc/word-count-sanity-check.txt	7	1	0.17778
data-wc/word-count-sanity-check.txt	7	2	0.17724
data-wc/word-count-sanity-check.txt	7	3	0.1767
data-wc/word-count-sanity-check.txt	7	4	0.1774
data-wc/word-count-sanity-check.txt	7	5	0.17692
data-wc/word-count-sanity-check.txt	7	6	0.17626
data-wc/word-count-sanity-check.txt	7	7	0.17698
data-wc/word-count-sanity-check.txt	7	8	0.1772
data-wc/word-count-sanity-check.txt	7	9	0.17692
data-wc/word-count-sanity-check.txt	7	10	0.17712
data-wc/word-count-sanity-check.txt	8	1	0.17768
data-wc/word-count-sanity-check.txt	8	2	0.17958
data-wc/word-count-sanity-check.txt	8	3	0.17864
data-wc/word-count-sanity-check.txt	8	4	0.17824
data-wc/word-count-sanity-check.txt	8	5	0.1803
data-wc/word-count-sanity-check.txt	8	6	0.17856
data-wc/word-count-sanity-check.txt	8	7	0.17778
data-wc/word-count-sanity-check.txt	8	8	0.17736
data-wc/word-count-sanity-check.txt	8	9	0.1778799999999999
data-wc/word-count-sanity-check.txt	8	10	0.1771599999999999
data-wc/word-count-sanity-check.txt	9	1	0.17736
data-wc/word-count-sanity-check.txt	9	2	0.17726
data-wc/word-count-sanity-check.txt	9	3	0.17768
data-wc/word-count-sanity-check.txt	9	4	0.17686
data-wc/word-count-sanity-check.txt	9	5	0.17794
data-wc/word-count-sanity-check.txt	9	6	0.1775199999999999
data-wc/word-count-sanity-check.txt	9	7	0.17786
data-wc/word-count-sanity-check.txt	9	8	0.17746
data-wc/word-count-sanity-check.txt	9	9	0.1769
data-wc/word-count-sanity-check.txt	9	10	0.17798
data-wc/word-count-sanity-check.txt	10	1	0.17776
data-wc/word-count-sanity-check.txt	10	2	0.17728
data-wc/word-count-sanity-check.txt	10	3	0.17714
data-wc/word-count-sanity-check.txt	10	4	0.1773
data-wc/word-count-sanity-check.txt	10	5	0.1779
data-wc/word-count-sanity-check.txt	10	6	0.17726
data-wc/word-count-sanity-check.txt	10	7	0.17744
data-wc/word-count-sanity-check.txt	10	8	0.17776
data-wc/word-count-sanity-check.txt	10	9	0.1783
data-wc/word-count-sanity-check.txt	10	10	0.17836
